jahr,total_bikes_both_streets,total_bikes_street_1,spring_street_1,summer_street_1,fall_street_1,winter_street_1,total_bikes_street_2,spring_street_2,summer_street_2,fall_street_2,winter_street_2
2013,0,0,0,0,0,0,683646,195029,274787,142896,70934
2014,953240,214360,66987,66511,47613,33249,738880,211858,243228,174914,108880
2015,1059745,223590,68518,79869,47367,27836,836155,256139,291239,176302,112475
2016,1042838,231906,63485,94153,47522,26746,810932,211719,324021,165003,110189
2017,1078249,249892,79916,89480,51001,29495,828357,273605,280704,165706,108342
2018,1306607,315741,97781,114952,69074,33934,990866,297035,359268,225660,108903
2019,1345578,330145,93342,124799,69871,42133,1015433,295483,380667,208938,130345
2020,1814760,417418,123464,150112,91283,52559,1397342,407860,534268,290192,165022
2021,1520338,380523,110867,136219,81907,51530,1139815,349939,390463,226404,173009
2022,1540824,417868,122417,145439,88152,61860,1122956,329285,390691,236048,166932